Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159)
0.0,0.4632034008695547,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.194455394095761e-22,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999978,1.0,19.0,1.7035797842718602e-17,9.8061322282160036e-17,9.8061322282160036e-17,5.2103325576591009e-29,5.2103246930135133e-29,1.4310012513353108e-16,1.3211122267280375e-26,2.9985534670853705e-19,2.0850529039893623e-26
3.3444751034681307e-22,0.4632034008695547,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,4.7700233959612038e-17,2.7457170238987899e-16,2.7457170238987899e-16,3.1470408648141973e-28,3.1470315279194179e-28,4.0068035026148305e-16,7.9795178475694477e-26,8.3959497062987888e-19,1.2593719537147724e-25
7.64451452221287e-22,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,1.0902910619339877e-16,6.2759246260464068e-16,6.2759246260464068e-16,1.5151647077494174e-27,1.5151555407571524e-27,9.15840800067771e-16,3.8417943525232813e-25,1.9190742178564641e-18,6.0633338403790272e-25
1.624459335970235e-21,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999512,1.0,19.0,2.3168685066097171e-16,1.3336339830314592e-15,1.3336339830314592e-15,6.6171223480426205e-27,6.6170412675037352e-27,1.9461616978818834e-15,1.6778125250493601e-24,4.0780327098452404e-18,2.6480171834970509e-24
3.344475103468131e-21,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999001,1.0,19.0,4.7700233959611508e-16,2.7457170238742782e-15,2.7457170238742779e-15,2.7625183219048628e-26,2.7624501696163916e-26,4.0068034863162528e-15,7.0045370000548264e-24,8.3959496839652133e-18,1.1054950455826643e-23
6.784506638463922e-21,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999997979,1.0,19.0,9.6763331746639325e-16,5.5698831055166486e-15,5.5698831055166415e-15,1.1285788731786532e-25,1.1285229991103513e-25,8.1280870344095759e-15,2.8615819055202119e-23,1.7031783592774856e-17,4.5163079573379888e-23
1.3664569708455506e-20,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999999995925,1.0,19.0,1.9488952732069119e-15,1.1218215268628317e-14,1.1218215268628271e-14,4.5618962490372698e-25,4.561443787325487e-25,1.637065401549455e-14,1.1566971497396813e-22,3.4303451252672906e-17,1.8255638713405361e-22
2.742469584843867e-20,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999991818,1.0,19.0,3.9114191846878045e-15,2.2514879594159503e-14,2.2514879594159137e-14,1.8343184173164394e-24,1.8339542705356622e-24,3.2855787517257824e-14,4.6510282914879364e-22,6.884678594158408e-17,7.3405119182959791e-22
5.494494812840501e-20,0.4632034008695548,154.0,0.0,0.0,0.0,0.99999999999983602,1.0,19.0,7.8364670076490019e-15,4.5108208242454207e-14,4.5108208242451285e-14,7.3564372686104339e-24,7.3535157618173505e-24,6.5826052679157818e-14,1.8652703076748855e-21,1.3793345279586682e-16,2.943873497692904e-21
1.0998545268833768e-19,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999967171,1.0,19.0,1.5686562653569059e-14,9.0294865527980705e-14,9.0294865527957304e-14,2.9464120017109622e-23,2.9440721088303528e-23,1.3176657563645227e-13,7.4708099520509953e-21,2.761067764102746e-16,1.1790848400711867e-20
2.20066461808203e-19,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999999934308,1.0,19.0,3.1386753945399803e-14,1.8066818005484338e-13,1.8066818005465615e-13,1.1793326553804803e-22,1.1774607062297411e-22,2.6364759208502575e-13,2.9902705483044777e-20,5.5245338326246554e-16,4.7194115415147944e-20
4.402284800479337e-19,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999868583,1.0,19.0,6.2787136529023831e-14,3.6141480893229704e-13,3.6141480893080121e-13,4.7188667539804714e-22,4.703907638799385e-22,5.2740950711816371e-13,1.1964974145757452e-19,1.1051464354603953e-15,1.8883788662345681e-19
8.80552516527395e-19,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999999737144,1.0,19.0,1.2558790169612208e-13,7.2290806598601465e-13,7.2290806597408041e-13,1.8878539601694324e-21,1.8759197175928497e-21,1.0549328657288251e-12,4.7867663260555325e-19,2.2105318938308254e-15,7.5547412452480111e-19
1.7612005894863177e-18,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999474265,1.0,19.0,2.5118943202971914e-13,1.4458945773195187e-12,1.4458945772245959e-12,7.5520303081489294e-21,7.4571076979209649e-21,2.1099776971310603e-12,1.9148604080894867e-18,4.4213002264729858e-15,3.0221393564058529e-18
3.5224967354041635e-18,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999998948497,1.0,19.0,5.0239249269451589e-13,2.8918675891320565e-12,2.8918675883814556e-12,3.0209349463704326e-20,2.9458748153242536e-20,4.2200598166861466e-12,7.6597376629843595e-18,8.8428265553866696e-15,1.2089024637655007e-17
7.045089027239854e-18,0.46320340086955464,154.0,0.0,0.0,0.0,0.9999999999789696,1.0,19.0,1.0047986140145198e-12,5.7838135711870474e-12,5.783813565318495e-12,1.208398483799973e-19,1.1497129540734987e-19,8.4401938830145077e-12,3.0639448838470286e-17,1.7685837867924814e-14,4.8356884816417268e-17
1.4090273610911236e-17,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999995793898,1.0,19.0,2.0096108566161682e-12,1.1567705382590534e-11,1.1567705337685893e-11,4.8336424676769385e-19,4.3845960632568597e-19,1.6880341326269784e-11,1.2255804066152966e-16,3.5371695113390654e-14,1.9342792642435519e-16
2.1135458194582617e-17,0.4632034008695548,154.0,0.0,0.0,0.0,0.99999999993690836,1.0,19.0,3.0144230991794572e-12,1.735159705375169e-11,1.7351596928546657e-11,1.0271520038448922e-18,9.0194697291080884e-19,2.5320368081849368e-11,2.6043514477537653e-16,5.3057386980792474e-14,4.1103325208289547e-16
2.8180642778254e-17,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999991587774,1.0,19.0,4.0192353417043873e-12,2.3135488596115699e-11,2.3135488337900828e-11,1.7522030777459942e-18,1.4939882034966896e-18,3.3760274151479012e-11,4.4427010400810819e-16,7.0742913471676706e-14,7.0117182460705821e-16
4.227101194559676e-17,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999987381638,1.0,19.0,6.0288598266642205e-12,3.4703271410464328e-11,3.4703270730624422e-11,3.6277190025110501e-18,2.9478791029203132e-18,5.0639803053555927e-11,9.197982561541175e-16,1.061135783296805e-13,1.4516768419059388e-15
5.636138111293953e-17,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999983175503,1.0,19.0,8.0384843114829951e-12,4.6271053833286646e-11,4.6271052455883895e-11,6.1698044442777162e-18,4.7924016814266399e-18,6.7518888164686937e-11,1.5643243737079018e-15,1.4148363505209249e-13,2.4689038616377873e-15
7.045175028028229e-17,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999978969367,1.0,19.0,1.0048108796150633e-11,5.7838835894184184e-11,5.7838833466003477e-11,9.4260712315671356e-18,6.9978905241481351e-18,8.4397497797053296e-11,2.3899153474817403e-15,1.7685304021099238e-13,3.771897523027634e-15
9.863248861496781e-17,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999970557107,1.0,19.0,1.406735776502301e-11,8.0974399206876494e-11,8.0974393295904027e-11,1.8126007667846356e-17,1.2215035202941001e-17,1.1815326083684585e-10,4.5956355394567043e-15,2.4758985498086929e-13,7.2530879917505739e-15
1.5499396528433885e-16,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999953732599,1.0,19.0,2.2105855700927486e-11,1.2724552365138533e-10,1.2724550424794694e-10,4.4221967479661826e-17,2.4818529102822864e-17,1.8565899808826848e-10,1.1211492643258779e-14,3.890555515484951e-13,1.7694602185773262e-14
2.113554419537099e-16,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999936908102,1.0,19.0,3.0144353634376151e-11,1.7351664616092507e-10,1.7351660357967786e-10,8.1922664210050956e-17,3.9341417025434387e-17,2.5315701087153781e-10,2.0768868525881092e-14,5.3051066226846456e-13,3.2778585163635755e-14
3.24078395292452e-16,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999903259185,1.0,19.0,4.6221349493908277e-11,2.6605888908579691e-10,2.6605876739281998e-10,1.9212766645705607e-16,7.043468948724327e-17,3.8812987455744942e-10,4.8703788287429602e-14,8.1338913980505554e-13,7.6867031548855986e-14
5.495243019699363e-16,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999835961495,1.0,19.0,7.8375341183512226e-11,4.5114337220830937e-10,4.5114295562087048e-10,5.5174906417103776e-16,1.3516162529562374e-16,6.5798298522074762e-10,1.3984256564797923e-13,1.3790191476201432e-12,2.2070732655713698e-13
7.749702086474205e-16,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999768664072,1.0,19.0,1.1052933283383633e-10,6.3622785419784382e-10,6.3622695798788397e-10,1.0969823822922557e-15,2.0077242237575716e-16,9.2771264715876944e-10,2.779912776624995e-13,1.9444799292138198e-12,4.3874131898079173e-13
1.225862022002389e-15,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999634069914,1.0,19.0,1.748373160166463e-10,1.0063968180958293e-09,1.0063944051500092e-09,2.7442735798061257e-15,3.3132775984913855e-16,1.4668019179525981e-09,6.9520689385512479e-13,3.0748940778365521e-12,1.0972142441714178e-12
1.6316646540218605e-15,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999512936,1.0,18.999999999999996,2.3271450074683995e-10,1.3395488849169923e-09,1.3395444719694603e-09,4.8616101548357462e-15,4.4866262309323395e-16,1.9515606291079076e-09,1.2312608810251729e-12,4.0916885634201171e-12,1.9432445060710783e-12
2.037467286041332e-15,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999391802863,1.0,18.999999999999989,2.9059168534976917e-10,1.6727009509914629e-09,1.6726939366255414e-09,7.5803029821811799e-15,5.6593706059363925e-16,2.4359202543463751e-09,1.9192889186466093e-12,5.1079355539220684e-12,3.0291286798077842e-12
2.4432699180608036e-15,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999270670503,1.0,18.999999999999986,3.4846886982543441e-10,2.0058530162638724e-09,2.0058427991259789e-09,1.0900344339948513e-14,6.8320644694302896e-16,2.9198811066004335e-09,2.7591718401785046e-12,6.1236353301568964e-12,4.354678690167356e-12
2.849072550080275e-15,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999149538943,1.0,18.999999999999982,4.063460541738361e-10,2.3390050807259302e-09,2.3389910594787664e-09,1.4821726240604537e-14,8.0047907685408336e-16,3.4034435117385857e-09,3.7507855529469734e-12,7.1387881846064813e-12,5.9196986872406166e-12
3.6606778141192184e-15,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999998907278143,1.0,18.999999999999972,5.2210042248885059e-10,3.0053092072292446e-09,3.005285773769927e-09,2.4468483151434741e-14,1.0350238339065322e-15,4.3693741485327233e-09,6.1887606220138872e-12,9.1674541767381977e-12,9.7674467438046403e-12
4.472283078158162e-15,0.4632034008695545,154.0,0.0,0.0,0.0,0.9999999866502044,1.0,18.999999999999957,6.3785479029481602e-10,3.6716133305023514e-09,3.671578079562598e-09,3.6520510181927034e-14,1.2695704292641945e-15,5.3337147645650649e-09,9.2322240926535646e-12,1.1193935865071266e-11,1.4570810324452952e-11
5.283888342197105e-15,0.4632034008695545,154.0,0.0,0.0,0.0,0.99999998422765835,1.0,18.999999999999947,7.5360915759173616e-10,4.3379174505519171e-09,4.3378679769238461e-09,5.0977740307790968e-14,1.5041122374646071e-15,6.2964681003155017e-09,1.2880132373746265e-11,1.3218235711940611e-11,2.0328142376062937e-11
6.095493606236048e-15,0.46320340086955447,154.0,0.0,0.0,0.0,0.99999998180514349,1.0,18.999999999999929,8.6936352437961503e-10,5.0042215673690864e-09,5.004155465919514e-09,6.7840107731350526e-14,1.7386581572836536e-15,7.2576368426029221e-09,1.7131462308599726e-11,1.5240356133081495e-11,2.7037828096253652e-11
6.907098870274991e-15,0.46320340086955447,154.0,0.0,0.0,0.0,0.99999997938265939,1.0,18.999999999999908,9.8511789065845574e-10,5.6705256809621513e-09,5.6704405466135708e-09,8.7107548519950902e-14,1.9731999398020316e-15,8.2172235974048087e-09,2.1985221525415125e-11,1.7260299473146385e-11,3.469830126906261e-11
8.530309398352878e-15,0.4632034008695543,154.0,0.0,0.0,0.0,0.999999974537784,1.0,18.999999999999865,1.2166266216890383e-09,7.0031338984560347e-09,7.0030034833525842e-09,1.3285739463337976e-13,2.442291182441879e-15,1.0131661537911976e-08,3.3496069951324848e-11,2.1293664267632924e-11,5.2865363469456876e-11
9.975506843328914e-15,0.46320340086955425,154.0,0.0,0.0,0.0,0.99999997022433684,1.0,18.999999999999815,1.4227464182320039e-09,8.1895985868804244e-09,8.1894197618655638e-09,1.8168495040751264e-13,2.8599355478477462e-15,1.1830848683976183e-08,4.5762668325760173e-11,2.4877395682297441e-11,7.2225192347206447e-11
1.142070428830495e-14,0.4632034008695541,154.0,0.0,0.0,0.0,0.99999996591098694,1.0,18.999999999999758,1.6288662131609818e-09,9.3760632650728704e-09,9.375828405175812e-09,2.3813747351982415e-13,3.2775764632022926e-15,1.3525058883110455e-08,5.992451464198783e-11,2.8454259375213962e-11,9.4576207113616888e-11
1.2865901733280987e-14,0.4632034008695539,154.0,0.0,0.0,0.0,0.99999996159773408,1.0,18.999999999999694,1.8349860064759913e-09,1.0562527933023575e-08,1.0562229413645134e-08,3.0221460239049584e-13,3.6952239530708219e-15,1.5214306726510728e-08,7.5976052485387762e-11,3.2024268519545213e-11,1.1990963832836104e-10
1.4311099178257023e-14,0.46320340086955375,154.0,0.0,0.0,0.0,0.99999995728457824,1.0,18.999999999999623,2.0411057981770533e-09,1.1748992590739674e-08,1.1748622787635751e-08,3.739159750364602e-13,4.1128711161369575e-15,1.6898606779622212e-08,9.3911735247373767e-11,3.5587436278526042e-11,1.4821673202753592e-10
1.7201494068209096e-14,0.46320340086955325,154.0,0.0,0.0,0.0,0.99999994865855579,1.0,18.999999999999456,2.4533453767374141e-09,1.4121921875472984e-08,1.4121386633626851e-08,5.4019000657963041e-13,4.9481604467864018e-15,2.0252421449955969e-08,1.3541347354154714e-10,4.2693300065429542e-11,2.137170874355134e-10
2.009188895816117e-14,0.46320340086955275,154.0,0.0,0.0,0.0,0.99999994003291737,1.0,18.999999999999257,2.8655849488422216e-09,1.6494851119270486e-08,1.6494119946041911e-08,7.36956677175575e-13,5.7834485976916557e-15,2.3586618379812262e-08,1.8438575187953438e-10,4.9771955370848466e-11,2.9100786539021409e-10
2.298228384811324e-14,0.4632034008695521,154.0,0.0,0.0,0.0,0.99999993140766075,1.0,18.999999999999027,3.2778245144916343e-09,1.8867780322131047e-08,1.8866822727771753e-08,9.6421309781402413e-13,6.618738527224446e-15,2.6901312310156606e-08,2.4078487621590134e-10,5.6823506367012992e-11,3.8002010553675357e-10
2.5872678738065314e-14,0.4632034008695514,154.0,0.0,0.0,0.0,0.99999992278278405,1.0,18.999999999998771,3.6900640736858106e-09,2.1240709484058363e-08,2.1239494981706654e-08,1.221956380034643e-12,7.4540283344304823e-15,3.0196617299807129e-08,3.0456741227102148e-10,6.3848056817306112e-11,4.8068525749698662e-10
2.8763073628017383e-14,0.46320340086955064,154.0,0.0,0.0,0.0,0.99999991415828471,1.0,18.999999999998479,4.1023036264249052e-09,2.3613638605054285e-08,2.3612136710736952e-08,1.5101836353059517e-12,8.289317970851946e-15,3.3472646754753073e-08,3.7569017436641825e-10,7.0845710100573141e-11,5.9293516324882875e-10
3.454386340792153e-14,0.463203400869549,154.0,0.0,0.0,0.0,0.99999989691041047,1.0,18.999999999997812,4.9267827125384685e-09,2.8359496724258554e-08,2.8357328605644286e-08,2.1780785115192908e-12,9.9598972609071132e-15,3.9967329409155188e-08,5.3978488123046373e-10,8.4760736733320091e-11,8.5191857254358248e-10
4.0324653187825674e-14,0.46320340086954687,154.0,0.0,0.0,0.0,0.99999987966402037,1.0,18.999999999997026,5.7512617728335577e-09,3.3105354679757815e-08,3.3102398435612801e-08,2.9678746216133943e-12,1.1630476609899136e-14,4.6386254408858632e-08,7.3272850466738424e-10,9.8569405482270907e-11,1.1564329499258154e-09
5.188623274763396e-14,0.46320340086954165,154.0,0.0,0.0,0.0,0.99999984517562657,1.0,18.999999999995072,7.4002198159731701e-09,4.2597070099697647e-08,4.2592171993183777e-08,4.9130781488925211e-12,1.497163503876253e-14,5.9000356060181644e-08,1.2038203064172622e-09,1.2587091491605114e-10,1.8999362829485828e-09
6.136311060064062e-14,0.4632034008695365,154.0,0.0,0.0,0.0,0.99999981691021933,1.0,18.999999999993115,8.751849408484396e-09,5.0377306488692529e-08,5.0370453211570588e-08,6.8709874612758791e-12,1.7710339337796913e-14,6.9121479300579598e-08,1.6731716343596119e-09,1.4793925946875806e-10,2.6406927057389244e-09
7.083998845364729e-14,0.4632034008695305,154.0,0.0,0.0,0.0,0.99999978864859573,1.0,18.999999999990827,1.0103478931622099e-08,5.8157542437893644e-08,5.8148406662679862e-08,9.1562242573771331e-12,2.0449043587795961e-14,7.9049783323980113e-08,2.2159495351785971e-09,1.6973175594864064e-10,3.4973350405813393e-09
7.936917852135329e-14,0.4632034008695242,154.0,0.0,0.0,0.0,0.99999976321631112,1.0,18.999999999988486,1.1319945443135855e-08,6.5159754416199383e-08,6.5148284611743162e-08,1.1492718333395467e-11,2.2913877177856251e-14,8.7823433805864619e-08,2.7660727470238639e-09,1.8911200325487348e-10,4.3655701572518092e-09
8.789836858905929e-14,0.4632034008695174,154.0,0.0,0.0,0.0,0.99999973778698403,1.0,18.999999999985885,1.2536411898464794e-08,7.2161966038361266e-08,7.2147897225864395e-08,1.4094191207503791e-11,2.5378710659013533e-14,9.6446506220475064e-08,3.3735368755709711e-09,2.0827409068070948e-10,5.3243039075457991e-09
9.642755865676529e-14,0.46320340086950984,154.0,0.0,0.0,0.0,0.99999971236056517,1.0,18.999999999983014,1.3752878297612479e-08,7.9164177304420306e-08,7.9147244579166651e-08,1.6960568797708963e-11,2.784354410604122e-14,1.0492158511367661e-07,4.037357710307725e-09,2.2722047410433895e-10,6.3719829560939854e-09
1.0495674872447128e-13,0.4632034008695014,154.0,0.0,0.0,0.0,0.99999968693700569,1.0,18.999999999979877,1.4969344640582424e-08,8.616638821441703e-08,8.6146326745751657e-08,2.009177704268421e-11,3.0308377347707188e-14,1.1325121038779992e-07,4.7565680412466743e-09,2.4595358164325238e-10,7.5070807986937957e-09
1.1348593879217728e-13,0.4632034008694925,154.0,0.0,0.0,0.0,0.99999966151625741,1.0,18.999999999976481,1.6185810927378075e-08,9.3168598768391195e-08,9.3145143799699787e-08,2.3487741901730652e-11,3.277321036971075e-14,1.2143787844173005e-07,5.5302172247724599e-09,2.6447581412016192e-10,8.7280970771057466e-09
1.220151288598833e-13,0.46320340086948275,154.0,0.0,0.0,0.0,0.9999996360982738,1.0,18.999999999972815,1.7402277158002831e-08,1.0017080896638157e-07,1.0014369581507011e-07,2.7148389354845641e-11,3.523804342266101e-14,1.294840426709606e-07,6.3573709932182012e-09,2.8278954526728491e-10,1.0033557278516353e-08
1.3054431892758929e-13,0.4632034008694723,154.0,0.0,0.0,0.0,0.9999996106830088,1.0,18.999999999968889,1.8618743332460015e-08,1.0717301880842667e-07,1.0714198286590035e-07,3.1073645402704402e-11,3.7702876427474024e-14,1.3739211449062105e-07,7.2371110652906061e-09,3.0089712214834667e-10,1.1422012120689561e-08
1.3907350899529528e-13,0.46320340086946127,154.0,0.0,0.0,0.0,0.99999958527041666,1.0,18.999999999964697,1.9835209450752926e-08,1.1417522829456454e-07,1.1414000502620688e-07,3.5263436066682392e-11,4.016770905613024e-14,1.4516446377388718e-07,8.168534979120599e-09,3.1880086534093841e-10,1.2892037288478014e-08
1.4760269906300128e-13,0.46320340086944944,154.0,0.0,0.0,0.0,0.99999955986045286,1.0,18.999999999960242,2.1051675512884774e-08,1.211774374248321e-07,1.2113776236998478e-07,3.9717687388846234e-11,4.2632541532876312e-14,1.528034198807059e-07,9.1507557005188178e-09,3.36503069367008e-10,1.4442232815550262e-08
1.5613188913070728e-13,0.4632034008694369,154.0,0.0,0.0,0.0,0.99999953445307355,1.0,18.999999999955524,2.226814151885874e-08,1.2817964619926528e-07,1.2813525497120774e-07,4.4436325431943869e-11,4.5097374440612835e-14,1.603112720901563e-07,1.0182901458329871e-08,3.5400600287529063e-10,1.6071222824537728e-08
1.6466107919841328e-13,0.46320340086942385,154.0,0.0,0.0,0.0,0.99999950904823531,1.0,18.999999999950536,2.3484607468677933e-08,1.3518185461790077e-07,1.3513248290382828e-07,4.9419276279381413e-11,4.7562206970952363e-14,1.6769027067731461e-07,1.1264115334355894e-08,3.7131190909778305e-10,1.7777654879829462e-08
1.7319026926611927e-13,0.46320340086940986,154.0,0.0,0.0,0.0,0.99999948364589608,1.0,18.999999999945288,2.4701073362345432e-08,1.4218406268077487e-07,1.4212944624177776e-07,5.4666466035228038e-11,5.0027038148033547e-14,1.7494262697358218e-07,1.2393555240383014e-08,3.8842300587765991e-10,1.9560199951314024e-08
1.8171945933382527e-13,0.4632034008693953,154.0,0.0,0.0,0.0,0.99999945824601377,1.0,18.999999999939771,2.5917539199864246e-08,1.491862703879198e-07,1.4912614505896599e-07,6.0177820824199506e-11,5.2491870384508106e-14,1.820705147285665e-07,1.3570393399569171e-08,4.053414862512236e-10,2.1417551595877103e-08
1.9024864940153127e-13,0.46320340086938006,154.0,0.0,0.0,0.0,0.99999943284854764,1.0,18.999999999933994,2.7134004981237338e-08,1.5618847773936855e-07,1.5612257942928176e-07,6.5953266791676819e-11,5.4956704896035706e-14,1.8907606980525059e-07,1.4793816462525315e-08,4.2206951831990834e-10,2.3348426140607296e-08
1.9877783946923727e-13,0.4632034008693641,154.0,0.0,0.0,0.0,0.99999940745345728,1.0,18.999999999927955,2.8350470706467625e-08,1.6319068473516098e-07,1.6311874942659264e-07,7.1992730103674101e-11,5.7421535353836003e-14,1.9596139212581709e-07,1.6063024766333955e-08,4.3860924608767121e-10,2.5351561513338236e-08
2.0730702953694326e-13,0.4632034008693473,154.0,0.0,0.0,0.0,0.99999938206070316,1.0,18.999999999921645,2.9566936375557983e-08,1.701928913753262e-07,1.7011465512474493e-07,7.8296136946855342e-11,5.988636562946212e-14,2.0272854520402888e-07,1.7377232512621542e-08,4.5496278926419903e-10,2.7425717523692274e-08
2.1583621960464926e-13,0.46320340086932993,154.0,0.0,0.0,0.0,0.99999935667024598,1.0,18.999999999915076,3.0783401988511217e-08,1.7719509765988862e-07,1.7711029659756387e-07,8.4863413528520568e-11,6.2351203794233299e-14,2.0937955696280469e-07,1.8735667456220597e-08,4.7113224362255969e-10,2.9569675371709892e-08
